,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
31,1,0,0,0,1,1,0,1,0,0,0.20245006439851213,0.24714773353847627,0.2984529132766488,0.29070459031995494,0.2997376467684719,0.3002150173255306,,,0.27311799427126576,0.040155726351527886
32,1,1,0,1,0,1,0,0,0,0,0.3692871299059791,0.3709880825759218,,,,,0.39508921783424017,,0.3784548101053804,0.014430902617778605
33,1,1,1,0,0,0,0,0,0,1,,,0.2310905707954612,0.21867678298699225,,,0.24876052713760075,0.22989735750605414,0.2321063096065271,0.012431496846204875
34,1,1,0,0,1,0,0,0,1,0,0.3578421128624426,,0.37246699007510803,0.37301707048477073,,0.37267323887565745,0.3614270561092924,,0.3674852936814543,0.007280552995604409
35,1,0,0,1,0,0,1,1,0,0,0.2602206583564352,0.24164718718860034,0.28110668335717043,0.28653651048470014,,0.28668899761547795,,,0.2712400074004768,0.019793727927996
36,0,0,1,0,0,1,1,1,0,0,0.2548741384542993,0.24546143800420503,,0.2678638984776665,0.26812006648686487,0.25182975143220265,0.2816737705286311,0.25693512168392857,0.2609654550096855,0.012280028953270756
37,1,0,1,0,1,0,0,1,0,0,0.20091484805819113,,,0.2790721509627867,0.260733055946359,,,,0.24690668498911228,0.040871963492297776
38,0,1,1,1,0,0,0,0,1,0,0.38217508827730146,,,,0.40005244443289484,,0.43649692661623,0.3529918838903885,0.3929290858042037,0.034926243956316855
39,0,1,1,1,1,0,0,0,0,0,0.3415745664284476,,0.34098638291017674,0.4167538637796143,0.3429871683964998,0.38355159803830047,0.35654434033509813,0.3587872077457414,0.3630264468048398,0.028033986181400745
40,0,0,0,0,1,0,0,1,1,1,0.19292701446333313,,0.16392044315937343,,0.20682179826103195,0.21877651209987078,0.20466606937297008,0.1821863965600861,0.19488303898611092,0.01966139778942805
