,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i
1,0,0,0,0,1,0,1,0,0,1
2,0,1,0,0,0,1,0,0,0,1
3,1,0,1,0,1,0,0,0,0,0
4,0,0,0,0,0,0,1,1,0,1
5,0,0,1,0,0,0,1,0,0,1
6,0,1,1,0,1,0,0,0,0,0
7,1,0,0,1,0,0,0,0,1,0
8,0,0,1,1,0,0,1,0,0,0
9,1,0,0,0,0,0,0,0,1,1
10,0,1,0,0,1,1,0,0,0,0
11,0,0,0,0,0,1,0,0,1,1
12,0,0,1,0,0,1,0,1,0,0
13,0,1,0,0,0,0,1,0,0,1
14,1,0,1,0,0,0,0,0,0,1
15,0,1,0,0,1,0,0,1,0,0
16,0,1,0,1,1,0,0,0,0,0
17,1,0,1,0,0,0,0,0,1,0
18,0,0,0,1,0,1,0,0,0,1
19,1,0,0,0,0,1,0,1,0,0
20,1,1,0,0,1,0,0,0,0,0
21,0,1,1,0,0,1,0,0,0,0
22,1,0,0,0,0,0,0,1,0,1
23,0,0,1,0,0,0,1,1,0,0
24,0,0,0,0,0,0,0,1,1,1
25,0,0,0,0,0,1,0,1,1,0
26,0,1,0,0,0,0,0,1,1,0
27,0,0,0,0,1,1,1,0,0,0
28,1,0,0,1,0,0,0,0,0,1
29,0,0,0,0,1,0,0,1,0,1
30,1,0,0,1,0,0,1,0,0,0
31,0,0,1,1,0,1,0,0,0,0
32,0,0,1,0,0,0,1,0,1,0
33,0,0,1,1,1,0,0,0,0,0
34,0,0,0,0,1,1,0,0,0,1
35,0,1,0,1,0,0,0,0,0,1
36,1,0,0,0,0,0,1,0,1,0
37,0,0,1,0,0,1,0,0,1,0
38,0,0,1,1,0,0,0,1,0,0
39,0,0,1,0,1,0,0,0,0,1
40,1,0,0,0,0,0,1,0,0,1
41,0,1,1,0,0,0,0,0,1,0
42,0,0,0,0,0,1,1,0,1,0
43,1,0,0,0,0,1,0,0,0,1
44,0,0,0,1,1,0,0,0,1,0
45,1,0,0,0,0,1,1,0,0,0
46,0,1,0,0,0,1,0,0,1,0
47,1,0,0,1,0,1,0,0,0,0
48,0,1,0,0,0,1,1,0,0,0
49,0,1,1,0,0,0,0,0,0,1
50,1,0,1,0,0,1,0,0,0,0
51,0,0,0,1,0,0,0,0,1,1
52,1,0,0,0,0,0,1,1,0,0
53,0,0,0,0,1,0,1,0,1,0
54,0,0,1,0,0,1,1,0,0,0
55,0,0,1,1,0,0,0,0,1,0
56,1,0,0,0,1,1,0,0,0,0
57,0,1,0,0,1,0,1,0,0,0
58,1,1,0,0,0,0,0,1,0,0
59,1,0,1,0,0,0,0,1,0,0
60,1,1,0,0,0,0,0,0,0,1
61,0,0,0,1,0,0,0,1,0,1
62,0,0,0,0,0,1,1,1,0,0
63,0,0,0,1,0,0,1,1,0,0
64,1,0,0,0,0,0,0,1,1,0
65,0,1,0,0,1,0,0,0,0,1
66,0,0,0,0,0,0,1,1,1,0
67,0,1,0,0,0,1,0,1,0,0
68,0,0,0,0,1,1,0,0,1,0
69,0,0,1,1,0,0,0,0,0,1
70,0,0,0,0,1,0,0,0,1,1
71,0,0,0,1,0,0,0,1,1,0
72,0,0,0,1,0,0,1,0,0,1
73,0,0,1,0,1,1,0,0,0,0
74,0,0,1,0,1,0,0,0,1,0
75,0,0,1,0,0,0,0,0,1,1
76,0,0,0,0,1,0,1,1,0,0
77,0,0,1,0,1,0,1,0,0,0
78,0,0,0,0,0,1,0,1,0,1
79,0,0,0,0,1,1,0,1,0,0
80,0,0,0,0,0,1,1,0,0,1
81,0,1,1,0,0,0,0,1,0,0
82,0,0,0,1,0,1,0,1,0,0
83,0,0,1,0,0,0,0,1,1,0
84,0,0,0,1,0,1,1,0,0,0
85,0,0,1,0,1,0,0,1,0,0
86,1,0,0,1,1,0,0,0,0,0
87,1,0,0,0,1,0,0,0,1,0
88,0,0,0,0,0,0,1,0,1,1
89,0,0,0,1,1,0,1,0,0,0
90,0,0,0,1,0,1,0,0,1,0
91,0,1,0,0,0,0,1,1,0,0
92,1,1,0,1,0,0,0,0,0,0
93,0,1,0,1,0,0,0,0,1,0
94,0,1,0,0,1,0,0,0,1,0
95,1,0,1,1,0,0,0,0,0,0
96,1,0,0,0,0,1,0,0,1,0
97,0,1,1,0,0,0,1,0,0,0
98,1,0,0,0,1,0,0,0,0,1
99,0,0,0,0,1,0,0,1,1,0
100,1,0,0,0,1,0,1,0,0,0
101,0,1,0,1,0,1,0,0,0,0
102,0,1,0,1,0,0,0,1,0,0
103,0,0,0,1,1,0,0,0,0,1
104,0,0,0,1,1,0,0,1,0,0
105,1,1,0,0,0,0,1,0,0,0
106,0,0,1,0,0,1,0,0,0,1
107,1,0,0,1,0,0,0,1,0,0
108,0,1,0,0,0,0,0,0,1,1
109,1,1,0,0,0,1,0,0,0,0
110,1,0,0,0,1,0,0,1,0,0
111,0,0,1,0,0,0,0,1,0,1
112,0,0,0,1,0,0,1,0,1,0
113,0,0,0,1,1,1,0,0,0,0
114,1,0,1,0,0,0,1,0,0,0
115,1,1,1,0,0,0,0,0,0,0
116,0,1,0,0,0,0,1,0,1,0
117,1,1,0,0,0,0,0,0,1,0
118,0,1,1,1,0,0,0,0,0,0
119,0,1,0,1,0,0,1,0,0,0
120,0,1,0,0,0,0,0,1,0,1
