,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i
1,0,0,1,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,1,1
3,0,0,1,0,0,0,0,1,0,0
4,0,0,0,1,1,0,0,0,0,0
5,0,0,0,1,0,1,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0
7,1,0,0,0,1,0,0,0,0,0
8,0,1,0,1,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,1,0
10,0,0,0,0,1,0,0,0,0,1
11,0,0,0,0,0,0,1,1,0,0
12,0,0,0,1,0,0,1,0,0,0
13,1,0,0,0,0,0,1,0,0,0
14,0,0,0,1,0,0,0,0,1,0
15,0,1,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,1,1,0
17,1,0,0,0,0,0,0,0,0,1
18,0,0,0,0,1,0,0,1,0,0
19,0,0,1,0,0,0,0,0,1,0
20,0,0,0,0,0,1,0,0,0,1
21,0,0,1,1,0,0,0,0,0,0
22,0,0,1,0,0,0,0,0,0,1
23,1,0,1,0,0,0,0,0,0,0
24,0,0,0,0,0,0,1,0,1,0
25,0,1,1,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,1,0,0
27,1,0,0,0,0,0,0,0,1,0
28,0,0,1,0,0,0,1,0,0,0
29,0,0,0,0,0,1,0,1,0,0
30,0,0,0,0,0,0,0,1,0,1
31,0,0,0,0,1,1,0,0,0,0
32,0,1,0,0,1,0,0,0,0,0
33,0,1,0,0,0,0,0,0,1,0
34,0,0,0,0,0,1,1,0,0,0
35,0,0,0,0,1,0,0,0,1,0
36,0,0,0,1,0,0,0,0,0,1
37,0,1,0,0,0,0,0,0,0,1
38,1,0,0,0,0,1,0,0,0,0
39,0,0,0,0,1,0,1,0,0,0
40,1,0,0,0,0,0,0,1,0,0
41,1,1,0,0,0,0,0,0,0,0
42,0,0,1,0,1,0,0,0,0,0
43,1,0,0,1,0,0,0,0,0,0
44,0,0,0,1,0,0,0,1,0,0
45,0,0,0,0,0,0,1,0,0,1
